t,vx,vy,vw,encoder1,encoder2,encoder3,encoder4,gyroX,gyroY,gyroZ,accX,accY,accZ
0.01,0,0,0,0.466822854,-0.122247611,0.014881595,0.410567019,0.064486318,0.318156082,-0.271373802,0.037672314,0.029603604,9.829006991
0.01,0,0,0,0.471367002,-0.123227739,0.013432786,0.41403884,0.054961175,0.31388138,-0.286171163,0.038821611,0.036740414,9.832778067
0.01,0,0,0,0.47694599,-0.126885046,0.013521578,0.418346667,0.157069525,0.242581035,-0.363785768,0.023258681,0.044555532,9.838616807
0.01,0,0,0,0.48208185,-0.130347208,0.013980376,0.422455954,-0.029193573,0.417779012,-0.355722811,0.043418637,0.034826089,9.832826441
0.01,0,0,0,0.485440021,-0.132978004,0.01570245,0.425702674,0.000164511,0.350697049,-0.225702675,0.02572494,0.029192573,9.834931768
0.01,0,0,0,0.491641371,-0.133016314,0.016423972,0.427189611,0.125678555,0.398252322,-0.270986898,0.049954493,0.030835567,9.843082779
0.01,0,0,0,0.497073042,-0.134967226,0.016628143,0.429966966,0.121067716,0.519885881,-0.287009785,0.026062579,0.018879931,9.835440976
0.01,0,0,0,0.50000717,-0.134308247,0.016364892,0.433015294,0.041444906,0.3048041,-0.273575621,0.035360479,0.015409429,9.839225846
0.01,0,0,0,0.504923565,-0.135397372,0.016920778,0.437570035,-0.052660292,0.30404485,-0.234562478,0.02294716,0.013515763,9.836384834
0.01,0,0,0,0.510595427,-0.137976808,0.015874257,0.442002837,-0.021478876,0.269831217,-0.356280533,0.029249007,0.024649122,9.84297028
0.01,0,0,0,0.513956952,-0.140288716,0.01698055,0.446048566,-0.003700704,0.448387864,-0.306591829,0.024470378,0.025504659,9.820613142
0.01,0,0,0,0.51980318,-0.141492397,0.017625833,0.450950307,-0.008053846,0.258266857,-0.321813149,0.022215819,0.027506313,9.852789867
0.01,0,0,0,0.52500172,-0.14186951,0.019558056,0.455622785,-0.057066373,0.474763424,-0.176380262,0.032641453,0.040407346,9.844042325
0.01,0,0,0,0.529588126,-0.142452434,0.021570004,0.459354884,0.005467963,0.362416235,-0.268017746,0.040565502,0.03886146,9.826852956
0.01,0,0,0,0.535703347,-0.143750027,0.021323243,0.460529969,0.084813678,0.288940709,-0.319298769,0.02180198,0.028286336,9.845246787
0.01,0,0,0,0.540829304,-0.144752529,0.023447453,0.464708167,-0.03435004,0.351432469,-0.319060851,0.018449525,0.015090094,9.852188808
0.01,0,0,0,0.545413548,-0.146052313,0.025315238,0.468411368,0.084804168,0.314657837,-0.202422021,0.032928792,0.01250764,9.83906812
0.01,0,0,0,0.550312694,-0.146745742,0.027780989,0.470214529,0.0951178,0.356203199,-0.277380125,0.028703731,0.042077263,9.846362506
0.01,0,0,0,0.557418837,-0.147328877,0.028274649,0.474410251,0.038500411,0.425451704,-0.305570292,0.035190624,0.016245502,9.844707945
0.01,0,0,0,0.562830028,-0.148095632,0.027556716,0.479772423,0.022779182,0.165452314,-0.312721679,0.052312621,0.027667903,9.833996427
0.01,0,0,0,0.568003331,-0.147730969,0.029058629,0.483162504,0.011929125,0.395393938,-0.227643763,0.030493755,0.039054728,9.835266576
0.01,0,0,0,0.572851546,-0.149674255,0.026399842,0.48796127,0.092988938,0.218187073,-0.385282856,0.024298287,0.008188355,9.85284942
0.01,0,0,0,0.578892798,-0.152015412,0.028372298,0.492797493,0.109266977,0.266132021,-0.294258121,0.03862795,0.03186263,9.838915724
0.01,0,0,0,0.584767429,-0.152339224,0.026857163,0.4960701,0.020110469,0.286562355,-0.246414647,0.03579002,0.023735528,9.8547478
0.01,0,0,0,0.590052081,-0.153654606,0.025955918,0.5004654,0.16920544,0.196657195,-0.411062754,0.043652949,0.032606627,9.82921938
0.01,0,0,0,0.596218767,-0.154450428,0.025344466,0.502900581,0.06988315,0.328354204,-0.262468147,0.056469983,0.028986584,9.842343227
0.01,0,0,0,0.602066067,-0.156087737,0.025094013,0.504436329,0.08956396,0.274069183,-0.388696863,0.02545894,0.030526803,9.847451449
